,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
819,28,No,Travel_Rarely,1451,Research & Development,2,Below College,Life Sciences,1,1136,Low,Male,67,Medium,1,Research Scientist,Medium,Married,3201,19911,0,Y,No,17,Excellent,Low,80,0,6,2,Bad,5,3,0,4
820,35,No,Travel_Frequently,1182,Sales,11,College,Marketing,1,1137,Very High,Male,54,High,2,Sales Executive,Very High,Divorced,4968,18500,1,Y,No,11,Excellent,Very High,80,1,5,3,Better,5,2,0,2
822,34,No,Travel_Frequently,1003,Research & Development,2,College,Life Sciences,1,1140,Very High,Male,95,High,2,Manufacturing Director,High,Single,4033,15834,2,Y,No,11,Excellent,Very High,80,0,5,3,Good,3,2,0,2
823,29,No,Travel_Frequently,490,Research & Development,10,Bachelor,Life Sciences,1,1143,Very High,Female,61,High,1,Research Scientist,Medium,Divorced,3291,17940,0,Y,No,14,Excellent,Very High,80,2,8,2,Good,7,5,1,1
824,42,No,Travel_Rarely,188,Research & Development,29,Bachelor,Medical,1,1148,Medium,Male,56,Low,2,Laboratory Technician,Very High,Single,4272,9558,4,Y,No,19,Excellent,Low,80,0,16,3,Better,1,0,0,0
825,29,No,Travel_Rarely,718,Research & Development,8,Below College,Medical,1,1150,Medium,Male,79,Medium,2,Manufacturing Director,Very High,Married,5056,17689,1,Y,Yes,15,Excellent,High,80,1,10,2,Good,10,7,1,2
826,38,No,Travel_Rarely,433,Human Resources,1,Bachelor,Human Resources,1,1152,High,Male,37,Very High,1,Human Resources,High,Married,2844,6004,1,Y,No,13,Excellent,Very High,80,1,7,2,Best,7,6,5,0
827,28,No,Travel_Frequently,773,Research & Development,6,Bachelor,Life Sciences,1,1154,High,Male,39,Medium,1,Research Scientist,High,Divorced,2703,22088,1,Y,Yes,14,Excellent,Very High,80,1,3,2,Better,3,1,0,2
829,33,Yes,Travel_Rarely,603,Sales,9,Master,Marketing,1,1157,Low,Female,77,High,2,Sales Executive,Low,Single,8224,18385,0,Y,Yes,17,Excellent,Low,80,0,6,3,Better,5,2,0,3
830,41,No,Travel_Rarely,167,Research & Development,12,Master,Life Sciences,1,1158,Medium,Male,46,High,1,Laboratory Technician,Very High,Married,4766,9051,3,Y,Yes,11,Excellent,Low,80,1,6,4,Better,1,0,0,0
832,37,No,Travel_Rarely,367,Research & Development,25,College,Medical,1,1161,High,Female,52,Medium,2,Healthcare Representative,Very High,Divorced,5731,17171,7,Y,No,13,Excellent,High,80,2,9,2,Better,6,2,1,3
834,34,No,Travel_Rarely,1400,Sales,9,Below College,Life Sciences,1,1163,Medium,Female,70,High,2,Sales Executive,High,Married,5714,5829,1,Y,No,20,Outstanding,Low,80,0,6,3,Good,6,5,1,3
835,35,No,Travel_Rarely,528,Human Resources,8,Master,Technical Degree,1,1164,High,Male,100,High,1,Human Resources,High,Single,4323,7108,1,Y,No,17,Excellent,Medium,80,0,6,2,Bad,5,4,1,4
836,29,Yes,Travel_Rarely,408,Sales,23,Below College,Life Sciences,1,1165,Very High,Female,45,Medium,3,Sales Executive,Low,Married,7336,11162,1,Y,No,13,Excellent,Low,80,1,11,3,Bad,11,8,3,10
839,42,No,Travel_Rarely,647,Sales,4,Master,Marketing,1,1171,Medium,Male,45,High,2,Sales Executive,Low,Single,5155,2253,7,Y,No,13,Excellent,Very High,80,0,9,3,Best,6,4,1,5
840,35,No,Travel_Rarely,982,Research & Development,1,Master,Medical,1,1172,Very High,Male,58,Medium,1,Laboratory Technician,High,Married,2258,16340,6,Y,No,12,Excellent,Medium,80,1,10,2,Better,8,0,1,7
841,24,No,Travel_Rarely,477,Research & Development,24,Bachelor,Medical,1,1173,Very High,Male,49,High,1,Laboratory Technician,Medium,Single,3597,6409,8,Y,No,22,Outstanding,Very High,80,0,6,2,Better,4,3,1,2
842,28,Yes,Travel_Rarely,1485,Research & Development,12,Below College,Life Sciences,1,1175,High,Female,79,High,1,Laboratory Technician,Very High,Married,2515,22955,1,Y,Yes,11,Excellent,Very High,80,0,1,4,Good,1,1,0,0
843,26,No,Travel_Rarely,1384,Research & Development,3,Master,Medical,1,1177,Low,Male,82,Very High,1,Laboratory Technician,Very High,Married,4420,13421,1,Y,No,22,Outstanding,Medium,80,1,8,2,Better,8,7,0,7
844,30,No,Travel_Rarely,852,Sales,10,Bachelor,Marketing,1,1179,High,Male,72,Medium,2,Sales Executive,High,Married,6578,2706,1,Y,No,18,Excellent,Low,80,1,10,3,Better,10,3,1,4
845,40,No,Travel_Frequently,902,Research & Development,26,College,Medical,1,1180,High,Female,92,Medium,2,Research Scientist,Very High,Married,4422,21203,3,Y,Yes,13,Excellent,Very High,80,1,16,3,Bad,1,1,0,0
846,35,No,Travel_Rarely,819,Research & Development,2,Bachelor,Life Sciences,1,1182,High,Male,44,Medium,3,Manufacturing Director,Medium,Divorced,10274,19588,2,Y,No,18,Excellent,Medium,80,1,15,2,Best,7,7,6,4
847,34,No,Travel_Frequently,669,Research & Development,1,Bachelor,Medical,1,1184,Very High,Male,97,Medium,2,Healthcare Representative,Low,Single,5343,25755,0,Y,No,20,Outstanding,High,80,0,14,3,Better,13,9,4,9
848,35,No,Travel_Frequently,636,Research & Development,4,Master,Other,1,1185,Very High,Male,47,Medium,1,Laboratory Technician,Very High,Married,2376,26537,1,Y,No,13,Excellent,Medium,80,1,2,2,Best,2,2,2,2
849,43,Yes,Travel_Rarely,1372,Sales,9,Bachelor,Marketing,1,1188,Low,Female,85,Low,2,Sales Executive,High,Single,5346,9489,8,Y,No,13,Excellent,Medium,80,0,7,2,Good,4,3,1,3
853,19,No,Travel_Rarely,645,Research & Development,9,College,Life Sciences,1,1193,High,Male,54,High,1,Research Scientist,Low,Single,2552,7172,1,Y,No,25,Outstanding,High,80,0,1,4,Better,1,1,0,0
854,45,No,Travel_Rarely,1457,Research & Development,7,Bachelor,Medical,1,1195,Low,Female,83,High,1,Research Scientist,High,Married,4477,20100,4,Y,Yes,19,Excellent,High,80,1,7,2,Good,3,2,0,2
855,37,No,Travel_Rarely,977,Research & Development,1,Bachelor,Life Sciences,1,1196,Very High,Female,56,Medium,2,Manufacturing Director,Very High,Married,6474,9961,1,Y,No,13,Excellent,Medium,80,1,14,2,Good,14,8,3,11
856,20,No,Travel_Rarely,805,Research & Development,3,Bachelor,Life Sciences,1,1198,Low,Male,87,Medium,1,Laboratory Technician,High,Single,3033,12828,1,Y,No,12,Excellent,Low,80,0,2,2,Good,2,2,1,2
857,44,Yes,Travel_Rarely,1097,Research & Development,10,Master,Life Sciences,1,1200,High,Male,96,High,1,Research Scientist,High,Single,2936,10826,1,Y,Yes,11,Excellent,High,80,0,6,4,Better,6,4,0,2
859,29,No,Travel_Rarely,942,Research & Development,15,Below College,Life Sciences,1,1202,Medium,Female,69,Low,1,Research Scientist,Very High,Married,2168,26933,0,Y,Yes,18,Excellent,Low,80,1,6,2,Good,5,4,1,3
862,44,No,Non-Travel,111,Research & Development,17,Bachelor,Life Sciences,1,1206,Very High,Male,74,Low,1,Research Scientist,High,Single,2290,4279,2,Y,No,13,Excellent,Very High,80,0,6,3,Better,0,0,0,0
863,33,No,Travel_Rarely,147,Human Resources,2,Bachelor,Human Resources,1,1207,Medium,Male,99,High,1,Human Resources,High,Married,3600,8429,1,Y,No,13,Excellent,Very High,80,1,5,2,Better,5,4,1,4
864,41,Yes,Non-Travel,906,Research & Development,5,College,Life Sciences,1,1210,Low,Male,95,Medium,1,Research Scientist,Low,Divorced,2107,20293,6,Y,No,17,Excellent,Low,80,1,5,2,Bad,1,0,0,0
871,24,Yes,Travel_Rarely,984,Research & Development,17,College,Life Sciences,1,1219,Very High,Female,97,High,1,Laboratory Technician,Medium,Married,2210,3372,1,Y,No,13,Excellent,Low,80,1,1,3,Bad,1,0,0,0
872,33,No,Travel_Frequently,1146,Sales,25,Bachelor,Medical,1,1220,Medium,Female,82,High,2,Sales Executive,High,Married,4539,4905,1,Y,No,12,Excellent,Low,80,1,10,3,Good,10,7,0,1
873,36,No,Travel_Rarely,917,Research & Development,6,Master,Life Sciences,1,1221,High,Male,60,Low,1,Laboratory Technician,High,Divorced,2741,6865,1,Y,No,14,Excellent,High,80,1,7,4,Better,7,7,1,7
876,20,No,Travel_Rarely,654,Sales,21,Bachelor,Marketing,1,1226,High,Male,43,Very High,1,Sales Representative,Very High,Single,2678,5050,1,Y,No,17,Excellent,Very High,80,0,2,2,Better,2,1,2,2
877,46,No,Travel_Rarely,150,Research & Development,2,Master,Technical Degree,1,1228,Very High,Male,60,High,2,Manufacturing Director,Very High,Divorced,7379,17433,2,Y,No,11,Excellent,High,80,1,12,3,Good,6,3,1,4
878,42,No,Non-Travel,179,Human Resources,2,Doctor,Medical,1,1231,Very High,Male,79,Very High,2,Human Resources,Low,Married,6272,12858,7,Y,No,16,Excellent,Low,80,1,10,3,Best,4,3,0,3
879,60,No,Travel_Rarely,696,Sales,7,Master,Marketing,1,1233,Medium,Male,52,Very High,2,Sales Executive,Very High,Divorced,5220,10893,0,Y,Yes,18,Excellent,Medium,80,1,12,3,Better,11,7,1,9
880,32,No,Travel_Frequently,116,Research & Development,13,Bachelor,Other,1,1234,High,Female,77,Medium,1,Laboratory Technician,Medium,Married,2743,7331,1,Y,No,20,Outstanding,High,80,1,2,2,Better,2,2,2,2
881,32,No,Travel_Frequently,1316,Research & Development,2,College,Life Sciences,1,1235,Very High,Female,38,High,2,Research Scientist,High,Single,4998,2338,4,Y,Yes,14,Excellent,Very High,80,0,10,2,Better,8,7,0,7
882,36,No,Travel_Rarely,363,Research & Development,1,Bachelor,Technical Degree,1,1237,High,Female,77,Low,3,Manufacturing Director,Low,Divorced,10252,4235,2,Y,Yes,21,Outstanding,High,80,1,17,2,Better,7,7,7,7
884,40,No,Travel_Rarely,107,Sales,10,Bachelor,Technical Degree,1,1239,Medium,Female,84,Medium,2,Sales Executive,Medium,Divorced,6852,11591,7,Y,No,12,Excellent,Medium,80,1,7,2,Best,5,1,1,3
885,25,No,Travel_Rarely,1356,Sales,10,Master,Life Sciences,1,1240,High,Male,57,High,2,Sales Executive,Very High,Single,4950,20623,0,Y,No,14,Excellent,Medium,80,0,5,4,Better,4,3,1,1
886,30,No,Travel_Rarely,1465,Research & Development,1,Bachelor,Medical,1,1241,Very High,Male,63,High,1,Research Scientist,Medium,Married,3579,9369,0,Y,Yes,21,Outstanding,Low,80,1,12,2,Better,11,9,5,7
889,27,No,Travel_Rarely,1103,Research & Development,14,Bachelor,Life Sciences,1,1244,Low,Male,42,High,1,Research Scientist,Low,Married,2235,14377,1,Y,Yes,14,Excellent,Very High,80,2,9,3,Good,9,7,6,8
892,19,Yes,Non-Travel,504,Research & Development,10,Bachelor,Medical,1,1248,Low,Female,96,Medium,1,Research Scientist,Medium,Single,1859,6148,1,Y,Yes,25,Outstanding,Medium,80,0,1,2,Best,1,1,0,0
895,31,No,Travel_Rarely,1332,Research & Development,11,College,Medical,1,1251,High,Male,80,High,2,Healthcare Representative,Low,Married,6833,17089,1,Y,Yes,12,Excellent,Very High,80,0,6,2,Good,6,5,0,1
896,31,No,Travel_Rarely,1062,Research & Development,24,Bachelor,Medical,1,1252,High,Female,96,Medium,2,Healthcare Representative,Low,Single,6812,17198,1,Y,No,19,Excellent,Medium,80,0,10,2,Better,10,9,1,8
897,59,No,Travel_Rarely,326,Sales,3,Bachelor,Life Sciences,1,1254,High,Female,48,Medium,2,Sales Executive,Very High,Single,5171,16490,5,Y,No,17,Excellent,Very High,80,0,13,2,Better,6,1,0,5
900,36,No,Travel_Frequently,469,Research & Development,3,Bachelor,Technical Degree,1,1257,High,Male,46,High,1,Research Scientist,Medium,Married,3692,9256,1,Y,No,12,Excellent,High,80,0,12,2,Good,11,10,0,7
901,48,No,Travel_Rarely,969,Research & Development,2,College,Technical Degree,1,1258,Very High,Male,76,Very High,1,Laboratory Technician,Medium,Single,2559,16620,5,Y,No,11,Excellent,High,80,0,7,4,Good,1,0,0,0
903,29,No,Travel_Rarely,1329,Research & Development,7,Bachelor,Life Sciences,1,1260,High,Male,82,High,2,Healthcare Representative,Very High,Divorced,6623,4204,1,Y,Yes,11,Excellent,Medium,80,2,6,2,Better,6,0,1,0
908,33,No,Travel_Rarely,536,Sales,10,Doctor,Marketing,1,1268,Very High,Male,82,Very High,3,Sales Executive,High,Divorced,8380,21708,0,Y,Yes,14,Excellent,Very High,80,2,10,3,Better,9,8,0,8
909,19,No,Travel_Rarely,265,Research & Development,25,Bachelor,Life Sciences,1,1269,Medium,Female,57,Very High,1,Research Scientist,Very High,Single,2994,21221,1,Y,Yes,12,Excellent,Very High,80,0,1,2,Better,1,0,0,1
910,23,No,Travel_Rarely,373,Research & Development,1,College,Life Sciences,1,1270,Very High,Male,47,High,1,Research Scientist,High,Married,1223,16901,1,Y,No,22,Outstanding,Very High,80,1,1,2,Better,1,0,0,1
911,25,Yes,Travel_Frequently,599,Sales,24,Below College,Life Sciences,1,1273,High,Male,73,Low,1,Sales Representative,Very High,Single,1118,8040,1,Y,Yes,14,Excellent,Very High,80,0,1,4,Better,1,0,1,0
912,26,No,Travel_Rarely,583,Research & Development,4,College,Life Sciences,1,1275,High,Male,53,High,1,Research Scientist,Very High,Single,2875,9973,1,Y,Yes,20,Outstanding,Medium,80,0,8,2,Good,8,5,2,2
915,21,Yes,Travel_Frequently,251,Research & Development,10,College,Life Sciences,1,1279,Low,Female,45,Medium,1,Laboratory Technician,High,Single,2625,25308,1,Y,No,20,Outstanding,High,80,0,2,2,Bad,2,2,2,2
917,34,No,Travel_Rarely,131,Sales,2,Bachelor,Marketing,1,1281,High,Female,86,High,2,Sales Executive,Low,Single,4538,6039,0,Y,Yes,12,Excellent,Very High,80,0,4,3,Better,3,2,0,2
920,34,No,Travel_Frequently,135,Research & Development,19,Bachelor,Medical,1,1285,High,Female,46,High,2,Laboratory Technician,Medium,Divorced,4444,22534,4,Y,No,13,Excellent,High,80,2,15,2,Best,11,8,5,10
921,28,No,Travel_Frequently,791,Research & Development,1,Master,Medical,1,1286,Very High,Male,44,High,1,Laboratory Technician,High,Single,2154,6842,0,Y,Yes,11,Excellent,High,80,0,5,2,Good,4,2,0,2
924,35,No,Travel_Rarely,735,Research & Development,6,Below College,Life Sciences,1,1291,High,Male,66,High,1,Research Scientist,High,Married,3506,6020,0,Y,Yes,14,Excellent,Very High,80,0,4,3,Better,3,2,2,2
925,42,No,Travel_Rarely,603,Research & Development,7,Master,Medical,1,1292,Medium,Female,78,Very High,2,Research Scientist,Medium,Married,2372,5628,6,Y,Yes,16,Excellent,Very High,80,0,18,2,Better,1,0,0,0
928,44,Yes,Travel_Rarely,621,Research & Development,15,Bachelor,Medical,1,1295,Low,Female,73,High,3,Healthcare Representative,Very High,Married,7978,14075,1,Y,No,11,Excellent,Very High,80,1,10,2,Better,10,7,0,5
929,28,No,Travel_Frequently,193,Research & Development,2,Bachelor,Life Sciences,1,1296,Very High,Male,52,Medium,1,Laboratory Technician,Very High,Married,3867,14222,1,Y,Yes,12,Excellent,Medium,80,1,2,2,Better,2,2,2,2
931,30,No,Non-Travel,879,Research & Development,9,College,Medical,1,1298,High,Female,72,High,2,Manufacturing Director,High,Single,4695,12858,7,Y,Yes,18,Excellent,High,80,0,10,3,Better,8,4,1,7
932,29,Yes,Travel_Rarely,806,Research & Development,7,Bachelor,Technical Degree,1,1299,Medium,Female,39,High,1,Laboratory Technician,High,Divorced,3339,17285,3,Y,Yes,13,Excellent,Low,80,2,10,2,Better,7,7,7,7
933,28,No,Travel_Rarely,640,Research & Development,1,Bachelor,Technical Degree,1,1301,Very High,Male,84,High,1,Research Scientist,Low,Single,2080,4732,2,Y,No,11,Excellent,Medium,80,0,5,2,Good,3,2,1,2
934,25,No,Travel_Rarely,266,Research & Development,1,Bachelor,Medical,1,1303,Very High,Female,40,High,1,Research Scientist,Medium,Single,2096,18830,1,Y,No,18,Excellent,Very High,80,0,2,3,Good,2,2,2,1
935,32,No,Travel_Rarely,604,Sales,8,Bachelor,Medical,1,1304,High,Male,56,Very High,2,Sales Executive,Very High,Married,6209,11693,1,Y,No,15,Excellent,High,80,2,10,4,Best,10,7,0,8
938,58,No,Travel_Rarely,848,Research & Development,23,Master,Life Sciences,1,1308,Low,Male,88,High,1,Research Scientist,High,Divorced,2372,26076,1,Y,No,12,Excellent,Very High,80,2,2,3,Better,2,2,2,2
939,32,Yes,Travel_Rarely,1089,Research & Development,7,College,Life Sciences,1,1309,Very High,Male,79,High,2,Laboratory Technician,High,Married,4883,22845,1,Y,No,18,Excellent,Low,80,1,10,3,Better,10,4,1,1
940,39,Yes,Travel_Rarely,360,Research & Development,23,Bachelor,Medical,1,1310,High,Male,93,High,1,Research Scientist,Low,Single,3904,22154,0,Y,No,13,Excellent,Low,80,0,6,2,Better,5,2,0,3
943,46,No,Travel_Rarely,991,Human Resources,1,College,Life Sciences,1,1314,Very High,Female,44,High,1,Human Resources,Low,Single,3423,22957,6,Y,No,12,Excellent,High,80,0,10,3,Best,7,6,5,7
946,40,Yes,Travel_Rarely,299,Sales,25,Master,Marketing,1,1318,Very High,Male,57,Medium,3,Sales Executive,Medium,Single,9094,17235,2,Y,Yes,12,Excellent,High,80,0,9,2,Better,5,4,1,0
951,41,No,Non-Travel,256,Sales,10,College,Medical,1,1329,High,Male,40,Low,2,Sales Executive,Medium,Single,6151,22074,1,Y,No,13,Excellent,Low,80,0,19,4,Better,19,2,11,9
952,31,Yes,Travel_Frequently,1060,Sales,1,Bachelor,Life Sciences,1,1331,Very High,Female,54,High,1,Sales Representative,Medium,Single,2302,8319,1,Y,Yes,11,Excellent,Low,80,0,3,2,Best,3,2,2,2
953,44,Yes,Travel_Rarely,935,Research & Development,3,Bachelor,Life Sciences,1,1333,Low,Male,89,High,1,Laboratory Technician,Low,Married,2362,14669,4,Y,No,12,Excellent,High,80,0,10,4,Best,3,2,1,2
959,40,No,Travel_Rarely,523,Research & Development,2,Bachelor,Life Sciences,1,1346,High,Male,98,High,2,Research Scientist,Very High,Single,4661,22455,1,Y,No,13,Excellent,High,80,0,9,4,Better,9,8,8,8
960,41,No,Travel_Frequently,1018,Sales,1,Bachelor,Marketing,1,1349,High,Female,66,High,2,Sales Executive,Low,Divorced,4103,4297,0,Y,No,17,Excellent,Very High,80,1,10,2,Better,9,3,1,7
961,35,No,Travel_Frequently,482,Research & Development,4,Master,Life Sciences,1,1350,High,Male,87,High,2,Research Scientist,High,Single,4249,2690,1,Y,Yes,11,Excellent,Medium,80,0,9,3,Better,9,6,1,1
963,38,No,Travel_Rarely,1009,Sales,2,College,Life Sciences,1,1355,Medium,Female,31,High,2,Sales Executive,Low,Divorced,6893,19461,3,Y,No,15,Excellent,Very High,80,1,11,3,Better,7,7,1,7
967,40,No,Travel_Rarely,329,Research & Development,1,Master,Life Sciences,1,1361,Medium,Male,88,High,1,Laboratory Technician,Medium,Married,2387,6762,3,Y,No,22,Outstanding,High,80,1,7,3,Better,4,2,0,3
968,36,No,Travel_Frequently,607,Sales,7,Bachelor,Marketing,1,1362,Low,Female,83,Very High,2,Sales Executive,Low,Married,4639,2261,2,Y,No,16,Excellent,Very High,80,1,17,2,Good,15,7,6,13
969,48,No,Travel_Rarely,855,Research & Development,4,Bachelor,Life Sciences,1,1363,Very High,Male,54,High,3,Manufacturing Director,Very High,Single,7898,18706,1,Y,No,11,Excellent,High,80,0,11,2,Better,10,9,0,8
970,27,No,Travel_Rarely,1291,Sales,11,Bachelor,Medical,1,1364,High,Female,98,Very High,1,Sales Representative,Very High,Married,2534,6527,8,Y,No,14,Excellent,Medium,80,1,5,4,Better,1,0,0,0
974,27,No,Travel_Frequently,793,Sales,2,Below College,Life Sciences,1,1371,Very High,Male,43,Low,2,Sales Executive,Very High,Single,5071,20392,3,Y,No,20,Outstanding,Medium,80,0,8,3,Better,6,2,0,0
979,34,No,Travel_Rarely,285,Research & Development,29,Bachelor,Medical,1,1377,Medium,Male,86,High,2,Laboratory Technician,High,Married,5429,17491,4,Y,No,13,Excellent,Low,80,2,10,1,Better,8,7,7,7
980,31,Yes,Travel_Frequently,703,Sales,2,Bachelor,Life Sciences,1,1379,High,Female,90,Medium,1,Sales Representative,Very High,Single,2785,11882,7,Y,No,14,Excellent,High,80,0,3,3,Best,1,0,0,0
983,34,No,Travel_Rarely,404,Research & Development,2,Master,Technical Degree,1,1383,High,Female,98,High,2,Healthcare Representative,Very High,Single,6687,6163,1,Y,No,11,Excellent,Very High,80,0,14,2,Best,14,11,4,11
985,31,Yes,Travel_Rarely,330,Research & Development,22,Master,Medical,1,1389,Very High,Male,98,High,2,Manufacturing Director,High,Married,6179,21057,1,Y,Yes,15,Excellent,Very High,80,2,10,3,Good,10,2,6,7
986,39,No,Travel_Rarely,1498,Sales,21,Master,Life Sciences,1,1390,Low,Male,44,Medium,2,Sales Executive,Very High,Married,6120,3567,3,Y,Yes,12,Excellent,Very High,80,2,8,2,Best,5,4,1,4
988,41,No,Travel_Frequently,1200,Research & Development,22,Bachelor,Life Sciences,1,1392,Very High,Female,75,High,2,Research Scientist,Very High,Divorced,5467,13953,3,Y,Yes,14,Excellent,Low,80,2,12,4,Good,6,2,3,3
989,37,No,Travel_Rarely,1439,Research & Development,4,Below College,Life Sciences,1,1394,High,Male,54,High,1,Research Scientist,High,Married,2996,5182,7,Y,Yes,15,Excellent,Very High,80,0,8,2,Better,6,4,1,3
990,33,No,Travel_Frequently,1111,Sales,5,Below College,Life Sciences,1,1395,Medium,Male,61,High,2,Sales Executive,Very High,Married,9998,19293,6,Y,No,13,Excellent,Low,80,0,8,2,Best,5,4,1,2
993,25,No,Travel_Rarely,1372,Sales,18,Below College,Life Sciences,1,1399,Low,Male,93,Very High,2,Sales Executive,High,Married,6232,12477,2,Y,No,11,Excellent,Medium,80,0,6,3,Good,3,2,1,2
995,43,No,Travel_Rarely,930,Research & Development,6,Bachelor,Medical,1,1402,Low,Female,73,Medium,2,Research Scientist,High,Single,4081,20003,1,Y,Yes,14,Excellent,Low,80,0,20,3,Bad,20,7,1,8
996,27,No,Travel_Rarely,205,Sales,10,Bachelor,Marketing,1,1403,Very High,Female,98,Medium,2,Sales Executive,Very High,Married,5769,7100,1,Y,Yes,11,Excellent,Very High,80,0,6,3,Better,6,2,4,4
997,27,Yes,Travel_Rarely,135,Research & Development,17,Master,Life Sciences,1,1405,Very High,Female,51,High,1,Research Scientist,High,Single,2394,25681,1,Y,Yes,13,Excellent,Very High,80,0,8,2,Better,8,2,7,7
998,26,No,Travel_Rarely,683,Research & Development,2,Below College,Medical,1,1407,Low,Male,36,Medium,1,Research Scientist,Very High,Single,3904,4050,0,Y,No,12,Excellent,Very High,80,0,5,2,Better,4,3,1,1
1002,35,No,Travel_Frequently,200,Research & Development,18,College,Life Sciences,1,1412,High,Male,60,High,3,Manufacturing Director,Very High,Single,9362,19944,2,Y,No,11,Excellent,High,80,0,10,2,Better,2,2,2,2
1003,25,No,Travel_Rarely,949,Research & Development,1,Bachelor,Technical Degree,1,1415,Low,Male,81,High,1,Laboratory Technician,Very High,Married,3229,4910,4,Y,No,11,Excellent,Medium,80,1,7,2,Good,3,2,0,2
1004,26,No,Travel_Rarely,652,Research & Development,7,Bachelor,Other,1,1417,High,Male,100,Very High,1,Laboratory Technician,Low,Single,3578,23577,0,Y,No,12,Excellent,Very High,80,0,8,2,Better,7,7,0,7
1005,29,No,Travel_Rarely,332,Human Resources,17,Bachelor,Other,1,1419,Medium,Male,51,Medium,3,Human Resources,Low,Single,7988,9769,1,Y,No,13,Excellent,Low,80,0,10,3,Good,10,9,0,9
1006,49,Yes,Travel_Frequently,1475,Research & Development,28,College,Life Sciences,1,1420,Low,Male,97,Medium,2,Laboratory Technician,Low,Single,4284,22710,3,Y,No,20,Outstanding,Low,80,0,20,2,Better,4,3,1,3
1007,29,Yes,Travel_Frequently,337,Research & Development,14,Below College,Other,1,1421,High,Female,84,High,3,Healthcare Representative,Very High,Single,7553,22930,0,Y,Yes,12,Excellent,Low,80,0,9,1,Better,8,7,7,7
1011,36,No,Travel_Rarely,1174,Sales,3,Master,Marketing,1,1425,Low,Female,99,High,2,Sales Executive,Medium,Single,9278,20763,3,Y,Yes,16,Excellent,Very High,80,0,15,3,Better,5,4,0,1
1012,31,Yes,Travel_Frequently,667,Sales,1,Master,Life Sciences,1,1427,Medium,Female,50,Low,1,Sales Representative,High,Single,1359,16154,1,Y,No,12,Excellent,Medium,80,0,1,3,Better,1,0,0,0
1013,30,No,Travel_Rarely,855,Sales,7,Master,Marketing,1,1428,Very High,Female,73,High,2,Sales Executive,Low,Divorced,4779,12761,7,Y,No,14,Excellent,Medium,80,2,8,3,Better,3,2,0,2
1015,34,No,Travel_Frequently,560,Research & Development,1,Master,Other,1,1431,Very High,Male,91,High,1,Research Scientist,Low,Divorced,2996,20284,5,Y,No,14,Excellent,High,80,2,10,2,Better,4,3,1,3
1016,31,Yes,Travel_Rarely,202,Research & Development,8,Bachelor,Life Sciences,1,1433,Low,Female,34,Medium,1,Research Scientist,Medium,Single,1261,22262,1,Y,No,12,Excellent,High,80,0,1,3,Best,1,0,0,0
1017,27,No,Travel_Rarely,1377,Research & Development,11,Below College,Life Sciences,1,1434,Medium,Male,91,High,1,Laboratory Technician,Low,Married,2099,7679,0,Y,No,14,Excellent,Medium,80,0,6,3,Best,5,0,1,4
1018,36,No,Travel_Rarely,172,Research & Development,4,Master,Life Sciences,1,1435,Low,Male,37,Medium,2,Laboratory Technician,Very High,Single,5810,22604,1,Y,No,16,Excellent,High,80,0,10,2,Good,10,4,1,8
1019,36,No,Travel_Rarely,329,Sales,16,Master,Marketing,1,1436,High,Female,98,Medium,2,Sales Executive,Low,Married,5647,13494,4,Y,No,13,Excellent,Low,80,2,11,3,Good,3,2,0,2
1020,47,No,Travel_Rarely,465,Research & Development,1,Bachelor,Technical Degree,1,1438,Low,Male,74,High,1,Research Scientist,Very High,Married,3420,10205,7,Y,No,12,Excellent,High,80,1,17,2,Good,6,5,1,2
1021,25,Yes,Travel_Rarely,383,Sales,9,College,Life Sciences,1,1439,Low,Male,68,Medium,1,Sales Representative,Low,Married,4400,15182,3,Y,No,12,Excellent,Low,80,0,6,2,Better,3,2,2,2
1022,37,No,Non-Travel,1413,Research & Development,5,College,Technical Degree,1,1440,High,Male,84,Very High,1,Laboratory Technician,High,Single,3500,25470,0,Y,No,14,Excellent,Low,80,0,7,2,Bad,6,5,1,3
1023,56,No,Travel_Rarely,1255,Research & Development,1,College,Life Sciences,1,1441,Low,Female,90,High,1,Research Scientist,Low,Married,2066,10494,2,Y,No,22,Outstanding,Very High,80,1,5,3,Best,3,2,1,0
1025,24,No,Travel_Rarely,1476,Sales,4,Below College,Medical,1,1445,Very High,Female,42,High,2,Sales Executive,High,Married,4162,15211,1,Y,Yes,12,Excellent,High,80,2,5,3,Better,5,4,0,3
1026,32,No,Travel_Rarely,601,Sales,7,Doctor,Marketing,1,1446,Very High,Male,97,High,2,Sales Executive,Very High,Married,9204,23343,4,Y,No,12,Excellent,High,80,1,7,3,Good,4,3,0,3
1027,34,No,Travel_Rarely,401,Research & Development,1,Bachelor,Life Sciences,1,1447,Very High,Female,86,Medium,1,Laboratory Technician,Medium,Married,3294,3708,5,Y,No,17,Excellent,Low,80,1,7,2,Good,5,4,0,2
